Rank,Symbol,Rating,Name,Score,3 Months Perf,Creation date
1,GME,AAA,Gamestop Corporation Common Stock,100,68.66,10/9/2020
2,NNDM,AAA,Nano Dimension Ltd. - American Depositary Shares,99.994,1124.37,12/4/2020
4,LCA,AAA,"Landcadia Holdings, Inc. - Class A Common Stock",99.99,31.1,12/5/2020
3,ACB,AAA,Aurora Cannabis Inc. Common Shares,99.99,145.23,3/1/2020
5,BLNK,AAA,Blink Charging Co. - Common Stock,99.988,328.48,11/25/2020
6,LAC,AAA,Lithium Americas Corp. Common Shares,99.986,5.91,8/18/2020
7,ipoc,AAA,Social Capital Hedosophia Holdings Corp. III Clas,99.986,-14.77,10/8/2020
8,TRIL,AAA,Trillium Therapeutics Inc. - Common Shares,99.985,-22.61,8/20/2020
9,TLRY,AAA,"Tilray, Inc. - Class 2 Common Stock",99.982,112.47,3/3/2020
10,NNOX,AAA,NANO-X IMAGING LTD - Ordinary Shares,99.979,56.08,11/22/2020
11,JMIA,AAA,"Jumia Technologies AG American Depositary Shares,",99.978,476.75,7/23/2020
12,IPOB,AAA,Social Capital Hedosophia Holdings Corp. II Class,99.977,57.77,11/12/2020
14,RAD,AAA,Rite Aid Corporation Common Stock,99.976,48.7,3/19/2020
13,FUBO,AAA,fuboTV Inc. Common Stock,99.976,332.07,10/23/2020
15,FLR,AAA,Fluor Corporation Common Stock,99.975,79.14,12/10/2020
16,BCRX,AAA,"BioCryst Pharmaceuticals, Inc. - Common Stock",99.974,104.49,7/10/2020
17,GRWG,AAA,GrowGeneration Corp. - Common Stock,99.973,185.91,9/30/2020
19,GRVY,AAA,"GRAVITY Co., Ltd. - American depositary shares, e",99.971,42.82,9/16/2020
18,WKHS,AAA,"Workhorse Group, Inc. - Common Stock",99.971,-20.69,6/30/2020
20,AR,AAA,Antero Resources Corporation Common Stock,99.97,66.31,6/9/2020
21,UNFI,AAA,"United Natural Foods, Inc. - Common Stock",99.968,-5.45,11/4/2020
