Rank,Symbol,Rating,Name,Score,3 Months Perf,Creation date
1,SNDL,AAA,Sundial Growers Inc. - Common Shares,100,2500.01,1/29/2021
2,AMC,AAA,"AMC Entertainment Holdings, Inc. Class A Common S",100,576.93,1/27/2021
3,GME,AAA,Gamestop Corporation Common Stock,100,479.11,10/9/2020
4,OCGN,AAA,"Ocugen, Inc. - Common Stock",99.999,1775,2/6/2021
5,BNGO,AAA,"Bionano Genomics, Inc. - Common Stock",99.999,4225.29,1/5/2021
6,VXRT,AAA,"Vaxart, Inc. - Common Stock",99.999,50.39,1/27/2021
7,SENS,AAA,"Senseonics Holdings, Inc. Common Stock",99.998,930.51,1/29/2021
8,GEVO,AAA,"Gevo, Inc. - Common Stock",99.998,2095.2,1/14/2021
9,KODK,AAA,Eastman Kodak Company Common New,99.998,62.64,8/3/2020
10,BTBT,AAA,Golden Bull Limited - Ordinary Share,99.998,386.13,1/3/2021
11,AG,AAA,First Majestic Silver Corp. Ordinary Shares (Cana,99.998,41,1/28/2021
12,HGEN,AAA,"Humanigen, Inc. - Common Stock",99.998,86.21,12/19/2020
13,BLNK,AAA,Blink Charging Co. - Common Stock,99.997,602.76,11/25/2020
14,NNDM,AAA,Nano Dimension Ltd. - American Depositary Shares,99.997,1082.05,12/4/2020
15,FUV,AAA,"Arcimoto, Inc. - Common Stock",99.997,467.92,1/27/2021
16,MVIS,AAA,"Microvision, Inc. - Common Stock",99.997,541.2,12/22/2020
17,MWK,AAA,"Mohawk Group Holdings, Inc. - Common Stock",99.997,377.96,2/4/2021
18,CVM,AAA,Cel-Sci Corporation Common Stock ($0.001 Par Valu,99.996,109.92,1/28/2021
19,TLRY,AAA,"Tilray, Inc. - Class 2 Common Stock",99.996,201.52,3/3/2020
20,ACB,AAA,Aurora Cannabis Inc. Common Shares,99.996,62.2,3/1/2020
21,INO,AAA,"Inovio Pharmaceuticals, Inc. - Common Stock",99.996,46.05,3/7/2020
22,CLVS,AAA,"Clovis Oncology, Inc. - Common Stock",99.996,157.65,1/27/2021
23,FUBO,AAA,fuboTV Inc. Common Stock,99.996,90.79,10/23/2020
24,VFF,AAA,"Village Farms International, Inc. - Common Shares",99.996,200.13,1/8/2021
25,HEXO,AAA,HEXO Corp. Common Shares,99.995,125.4,1/15/2021
26,CRIS,AAA,"Curis, Inc. - Common Stock",99.995,1400.45,1/8/2021
27,ZIOP,AAA,ZIOPHARM Oncology Inc - Common Stock,99.995,134.38,1/21/2021
28,FSR,AAA,Fisker Inc. Class A Common Stock,99.995,38.03,2/2/2021
29,DMTK,AAA,"DermTech, Inc. - Common Stock",99.994,367.48,1/14/2021
30,CAN,AAA,Canaan Inc. - American Depositary Shares,99.995,148.76,11/26/2020
31,IPOD,AAA,Social Capital Hedosophia Holdings Corp. IV Class,99.994,47.85,1/17/2021
32,LAC,AAA,Lithium Americas Corp. Common Shares,99.994,141.8,8/18/2020
33,GSAT,AAA,"Globalstar, Inc. Common Stock",99.994,239.44,1/14/2021
34,CLCT,AAA,"Collectors Universe, Inc. - Common Stock",99.994,25.06,1/21/2021
35,BB,AAA,BlackBerry Limited Common Stock,99.994,39.49,1/28/2021
36,BCRX,AAA,"BioCryst Pharmaceuticals, Inc. - Common Stock",99.994,136.52,7/10/2020
37,DVAX,AAA,Dynavax Technologies Corporation - Common Stock,99.993,129.81,7/9/2020
38,KPTI,AAA,Karyopharm Therapeutics Inc. - Common Stock,99.993,14.31,12/3/2020
39,AVXL,AAA,Anavex Life Sciences Corp. - Common Stock,99.993,180.73,2/6/2021
40,MNKD,AAA,MannKind Corporation - Common Stock,99.992,108.86,12/17/2020
41,SRNE,AAA,"Sorrento Therapeutics, Inc. - Common Stock",99.992,108.24,1/19/2021
42,WKHS,AAA,"Workhorse Group, Inc. - Common Stock",99.992,127.36,2/6/2021
43,TRIL,AAA,Trillium Therapeutics Inc. - Common Shares,99.992,-0.22,8/20/2020
44,OSTK,AAA,"Overstock.com, Inc. - Common Stock",99.991,37.53,6/23/2020
