"","Rank","Symbol","Rating","Name","Score","3 Months Perf","Creation date"
"1",3,"GME","AAA","Gamestop Corporation Common Stock",100,479.11,"2020-10-09"
"2",2,"AMC","AAA","AMC Entertainment Holdings, Inc. Class A Common S",100,576.93,"2021-01-27"
"3",1,"SNDL","AAA","Sundial Growers Inc. - Common Shares",100,2500.01,"2021-01-29"
"4",5,"BNGO","AAA","Bionano Genomics, Inc. - Common Stock",99.999,4225.29,"2021-01-05"
"5",6,"VXRT","AAA","Vaxart, Inc. - Common Stock",99.999,50.39,"2021-01-27"
"6",13,"BLNK","AAA","Blink Charging Co. - Common Stock",99.998,602.76,"2020-11-25"
"7",10,"BTBT","AAA","Golden Bull Limited - Ordinary Share",99.998,386.13,"2021-01-03"
"8",9,"KODK","AAA","Eastman Kodak Company Common New",99.998,62.64,"2020-08-03"
"9",11,"AG","AAA","First Majestic Silver Corp. Ordinary Shares (Cana",99.998,41,"2021-01-28"
"10",7,"SENS","AAA","Senseonics Holdings, Inc. Common Stock",99.998,930.51,"2021-01-29"
"11",12,"HGEN","AAA","Humanigen, Inc. - Common Stock",99.998,86.21,"2020-12-19"
"12",8,"GEVO","AAA","Gevo, Inc. - Common Stock",99.998,2095.2,"2021-01-14"
"13",16,"MVIS","AAA","Microvision, Inc. - Common Stock",99.997,541.2,"2020-12-22"
"14",15,"FUV","AAA","Arcimoto, Inc. - Common Stock",99.997,467.92,"2021-01-27"
"15",17,"MWK","AAA","Mohawk Group Holdings, Inc. - Common Stock",99.997,377.96,"2021-02-04"
"16",18,"CVM","AAA","Cel-Sci Corporation Common Stock ($0.001 Par Valu",99.997,109.92,"2021-01-28"
"17",14,"NNDM","AAA","Nano Dimension Ltd. - American Depositary Shares",99.997,1082.05,"2020-12-04"
"18",20,"ACB","AAA","Aurora Cannabis Inc. Common Shares",99.996,62.2,"2020-03-01"
"19",22,"CLVS","AAA","Clovis Oncology, Inc. - Common Stock",99.996,157.65,"2021-01-27"
"20",24,"VFF","AAA","Village Farms International, Inc. - Common Shares",99.996,200.13,"2021-01-08"
"21",23,"FUBO","AAA","fuboTV Inc. Common Stock",99.996,90.79,"2020-10-23"
"22",25,"HEXO","AAA","HEXO Corp. Common Shares",99.996,125.4,"2021-01-15"
"23",19,"TLRY","AAA","Tilray, Inc. - Class 2 Common Stock",99.996,201.52,"2020-03-03"
"24",21,"INO","AAA","Inovio Pharmaceuticals, Inc. - Common Stock",99.996,46.05,"2020-03-07"
"25",26,"CRIS","AAA","Curis, Inc. - Common Stock",99.995,1400.45,"2021-01-08"
"26",28,"FSR","AAA","Fisker Inc. Class A Common Stock",99.995,38.03,"2021-02-02"
"27",30,"CAN","AAA","Canaan Inc. - American Depositary Shares",99.995,148.76,"2020-11-26"
"28",27,"ZIOP","AAA","ZIOPHARM Oncology Inc - Common Stock",99.995,134.38,"2021-01-21"
"29",29,"DMTK","AAA","DermTech, Inc. - Common Stock",99.995,367.48,"2021-01-14"
"30",32,"LAC","AAA","Lithium Americas Corp. Common Shares",99.994,141.8,"2020-08-18"
"31",35,"BB","AAA","BlackBerry Limited Common Stock",99.994,39.49,"2021-01-28"
"32",33,"GSAT","AAA","Globalstar, Inc. Common Stock",99.994,239.44,"2021-01-14"
"33",31,"IPOD","AAA","Social Capital Hedosophia Holdings Corp. IV Class",99.994,47.85,"2021-01-17"
"34",34,"CLCT","AAA","Collectors Universe, Inc. - Common Stock",99.994,25.06,"2021-01-21"
"35",36,"BCRX","AAA","BioCryst Pharmaceuticals, Inc. - Common Stock",99.994,136.52,"2020-07-10"
"36",37,"DVAX","AAA","Dynavax Technologies Corporation - Common Stock",99.993,129.81,"2020-07-09"
"37",38,"KPTI","AAA","Karyopharm Therapeutics Inc. - Common Stock",99.993,14.31,"2020-12-03"
"38",39,"AVXL","AA+","Anavex Life Sciences Corp. - Common Stock",99.993,180.73,"2021-02-05"
"39",45,"PRTY","AAA","Party City Holdco Inc. Common Stock",99.992,276.74,"2021-01-08"
"40",40,"MNKD","AAA","MannKind Corporation - Common Stock",99.992,108.86,"2020-12-17"
"41",41,"SRNE","AAA","Sorrento Therapeutics, Inc. - Common Stock",99.992,108.24,"2021-01-19"
"42",42,"WKHS","AA+","Workhorse Group, Inc. - Common Stock",99.992,127.36,"2021-02-05"
"43",44,"OSTK","AAA","Overstock.com, Inc. - Common Stock",99.992,37.53,"2020-06-23"
"44",43,"TRIL","AAA","Trillium Therapeutics Inc. - Common Shares",99.992,-0.22,"2020-08-20"
"45",46,"STNG","AA+","Scorpio Tankers Inc. Common Shares",99.991,55,"2021-02-05"
"46",47,"FCEL","AA+","FuelCell Energy, Inc. - Common Stock",99.991,994.95,"2021-02-05"
"47",48,"MSTR","AA+","MicroStrategy Incorporated - Class A Common Stock",99.991,257.36,"2021-02-05"
"48",50,"NXE","AA+","Nexgen Energy Ltd. Common Shares",99.991,87.32,"2021-02-02"
"49",49,"HYLN","AA+","Hyliion Holdings Corp. Class A Common Stock",99.991,-29.58,"2021-02-03"
"50",52,"GRVY","AA+","GRAVITY Co., Ltd. - American depositary shares, e",99.99,24.25,"2021-01-29"
"51",51,"VBIV","AA+","VBI Vaccines, Inc. - Ordinary Shares",99.99,60.76,"2021-02-02"
"52",54,"APHA","AA+","Aphria Inc. Common Shares",99.99,234.6,"2021-02-04"
"53",53,"CRSR","AA+","Corsair Gaming, Inc. - Common Stock",99.99,67.16,"2021-02-02"
"54",59,"SKT","AA+","Tanger Factory Outlet Centers, Inc. Common Stock",99.989,93.64,"2021-01-23"
"55",55,"PRTS","AA+","U.S. Auto Parts Network, Inc. - Common Stock",99.989,38.42,"2021-01-27"
"56",57,"DTIL","AA+","Precision BioSciences, Inc. - Common Stock",99.989,140.05,"2021-02-05"
"57",56,"SGMO","AA+","Sangamo Therapeutics, Inc. - Common Stock",99.989,30.89,"2021-02-02"
